id,Причина дубля,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023,Май 2023,Июнь 2023,Июль 2023,Август 2023,Сентябрь 2023,Октябрь 2023,Ноябрь 2023,Декабрь 2023,Январь 2024,Февраль 2024,Account
454,,88540.0,92140.0,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
455,,55000.0,55000.0,,,,,,,,,,,,,,,Михайлов Андрей Сергеевич
693,изменение ЮЛ,81085.0,82435.0,,,,,,,,,,,,,,,Попова Екатерина Николаевна
654,,150685.21,231057.76,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
475,,100485.0,100485.0,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
193,первая часть оплаты,164000.0,190280.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
390,,221830.0,220830.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
477,,7000.0,,,,,,,,,,,,,,,,Иванова Мария Сергеевна
478,,76760.0,90935.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
535,первая часть оплаты,44570.0,44570.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
535,вторая часть оплаты,29685.0,65020.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
709,,13885.0,20450.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
581,первая часть оплаты,66280.0,66280.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
581,вторая часть оплаты,85000.0,85000.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
623,,152155.0,149765.0,,,,,,,,,,,,,,,Иванова Мария Сергеевна
705,первая часть оплаты,33960.0,31965.0,,,,,,,,,,,,,,,Смирнова Ольга Владимировна
705,вторая часть оплаты,,2110.0,,,,,,,,,,,,,,,Смирнова Ольга Владимировна
705,вторая часть оплаты,,4220.0,,,,,,,,,,,,,,,Смирнова Ольга Владимировна
720,первая часть оплаты,,29127.5,,,,,,,,,,,,,,,Васильев Артем Александрович
720,вторая часть оплаты,,29127.5,,,,,,,,,,,,,,,Васильев Артем Александрович
242,,96400.0,88850.0,83880.0,90965.0,86975.0,84160.0,75900.0,95105.0,,,,,,,,,Соколова Анастасия Викторовна
596,,41565.0,29960.0,,,,,,,,,,,,,,,Васильев Артем Александрович
266,,45950.0,45950.0,,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,46995.0,,Соколова Анастасия Викторовна
498,,70650.0,74650.0,,,,,,,,,,,,,,,Васильев Артем Александрович
524,,252293.75,296130.71,243591.67,,,,,,,,,,,,,,Иванова Мария Сергеевна
626,,,,,,,,,,,,,,,,,,Васильев Артем Александрович
684,,,,,,,,,,,,,,,,,,Васильев Артем Александрович
548,,674000.0,674000.0,674000.0,674000.0,,,,,,,,,,,,,Михайлов Андрей Сергеевич
493,первая часть оплаты,36950.0,36950.0,36950.0,,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,55225.0,Смирнова Ольга Владимировна
493,вторая часть оплаты,10200.0,11900.0,11050.0,,,,,,,,,,,,,,Смирнова Ольга Владимировна
674,первая часть оплаты,89020.0,95035.0,100355.0,,,,,,,,,,,,,,Попова Екатерина Николаевна
674,вторая часть оплаты,17351.0,26034.0,27422.0,,,,,,,,,,,,,,Попова Екатерина Николаевна
624,первая часть оплаты,18000.0,18000.0,,,,,,,,,,,,,,,Попова Екатерина Николаевна
624,вторая часть оплаты,16880.0,21100.0,30400.0,,,,,,,,,,,,,,Попова Екатерина Николаевна
721,первая часть оплаты,,21000.0,21000.0,,,,,,,,,,,,,,Попова Екатерина Николаевна
721,вторая часть оплаты,,10500.0,14700.0,,,,,,,,,,,,,,Попова Екатерина Николаевна
509,первая часть оплаты,59600.0,59600.0,59600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,39600.0,40100.0,Соколова Анастасия Викторовна
509,вторая часть оплаты,65450.0,50150.0,34000.0,97555.0,54595.0,53700.0,50120.0,8055.0,53700.0,53700.0,25060.0,53700.0,56385.0,75180.0,8950.0,56385.0,Соколова Анастасия Викторовна
509,доп работы,67485.0,67485.0,67485.0,,,,,,,,,,,,,,Соколова Анастасия Викторовна
687,,99783.0,99958.5,99958.5,,,,,,,,,,,,,,Соколова Анастасия Викторовна
230,первая часть оплаты,40745.0,40745.0,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
230,вторая часть оплаты,17325.0,21480.0,,,,,,,,,,,,,,,Соколова Анастасия Викторовна
703,,,72900.0,60900.0,,,,,,,,,,,,,,Васильев Артем Александрович
529,изменение ЮЛ,75310.0,71060.0,71060.0,76500.0,,,,,,,,,,,,,Васильев Артем Александрович
453,,,39245.0,44320.0,177635.0,,,,,,,,,,,,,Васильев Артем Александрович
429,,30280.0,35580.0,35830.0,42830.0,,,,,,,,,,,,,Соколова Анастасия Викторовна
381,,,,,,,,,,,,,,,,,,Иванова Мария Сергеевна
